Pacman: 13 || Ghost: 5 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 6 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 7 || Pacman rate: 100.0 || Ghost rate: 0.0
Pacman: 13 || Ghost: 9 || Pacman rate: 62.0 || Ghost rate: 38.0
Pacman: 13 || Ghost: 10 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 11 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 12 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 13 || Pacman rate: 40.0 || Ghost rate: 60.0
Pacman: 13 || Ghost: 14 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 15 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 16 || Pacman rate: 44.0 || Ghost rate: 56.0
Pacman: 13 || Ghost: 17 || Pacman rate: 34.0 || Ghost rate: 66.0
Pacman: 13 || Ghost: 18 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 19 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 21 || Pacman rate: 52.0 || Ghost rate: 48.0
Pacman: 13 || Ghost: 23 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 24 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 13 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
---
Pacman: 25 || Ghost: 1 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 2 || Pacman rate: 44.0 || Ghost rate: 56.0
Pacman: 25 || Ghost: 5 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 6 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 7 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 9 || Pacman rate: 50.0 || Ghost rate: 50.0
Pacman: 25 || Ghost: 10 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 11 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 12 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 13 || Pacman rate: 30.0 || Ghost rate: 70.0
Pacman: 25 || Ghost: 14 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 15 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 16 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 17 || Pacman rate: 100.0 || Ghost rate: 0.0
Pacman: 25 || Ghost: 18 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 19 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 21 || Pacman rate: 28.0 || Ghost rate: 72.0
Pacman: 25 || Ghost: 23 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 24 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 25 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
---
Pacman: 14 || Ghost: 1 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 2 || Pacman rate: 58.0 || Ghost rate: 42.0
Pacman: 14 || Ghost: 5 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 6 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 7 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 9 || Pacman rate: 62.0 || Ghost rate: 38.0
Pacman: 14 || Ghost: 10 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 11 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 12 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 14 || Ghost: 13 || Pacman rate: 46.0 || Ghost rate: 54.0
Pacman: 14 || Ghost: 14 || Pacman rate: 0.0 || Ghost rate: 100.0
